max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              1.06019124722469,0.11032462280834798,              5,5,              1.0,0.1,              1.0,0.1,0.9500000000000002,              5
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8711813206251775,0,              0,0,              0,0,              0.001,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8736813797911933,0,              0,0,              0,0,              0.001,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8785712736357097,0,              0,0,              0,0,              0.01,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.9103986684504565,0,              0,0,              0,0,              0.01,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.9104115719266803,0,              0,0,              0,0,              0.1,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.9107634888743162,0,              0,0,              0,0,              1.0,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.9116052521536899,0,              0,0,              0,0,              10000.0,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8711813206251775,0,              0,0,              0,0,              0.001,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8736813797911933,0,              0,0,              0,0,              0.001,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.8785712736357097,0,              0,0,              0,0,              0.01,0.001,0.9500000000000002,              0
              ==============================================================

max_rpd,max_r2,R2_rdn,RPD_rdn,C_R2,epsilon_R2,C_RPD,epsilon_RPD,PCA Variancia,random_numbers
              0.9103986684504565,0,              0,0,              0,0,              0.01,0.001,0.9500000000000002,              0
              ==============================================================

