// AS7341 reflection color matrix file

//TargetBase=D65;2°Observer
// The color matrix
Title;Dark Skin;Light Skin;Blue Sky;Foliage;Blue Flower;Bluish Green;Orange Yellow;Yellow Green;Purple;Moderate Red;Purplish Blue;Orange;Blue;Green;Red;Yellow;Magenta;Cyan;Neutral;Neutral;Neutral;Neutral;Neutral; Neutral;Ultra Pure White;Swiss Coffee;Linen White;Canvas Luggage;Antique White;Moth Gray;Adobe Sand;Buckwheat Flour;Taupe Tease;Heavenly Aromas;Powder Lilac;Streetwise;Wave Top;Brook Grenn;Sawgrass;Campfire Ash;White;Pixel White;Planetary Silver;Silver Martin;Morning Zen;Half Sea Fog;Hemisphere ;Washed Denim;Canyon Dusk;Brazilian Tan;Ashen Tan;Casual Khaki;Golen Nectar;Soft Buttercup;Spirited Yellow;Lunch Box;Polo Tan;Rustic Taupe;Rusty Gate;Deep Fire;Beacon Blue;Skinny Jeans;Explorer Blue;Jojoba;Back to nature;Cool Ashes;Blackout;Green Scene;Fresh Apple;Fern Canopy ;Vine Leaf;Blueprint;Very Navy;Optimum Blue;Fine Wine;Circus Red;100 MPH;Fire Roasted;Havana Coffee;Rodea Tan;Amiable Orange;Gingersnap;Cake Spice;Natural Twine
X;11.55;38;18.02;10.72;24.65;30.3;45.84;34.38;8.82;28.72;14.08;38.75;8.92;14.84;20.59;57.63;30.6;14.99;3.22;8.75;18.64;35.26;55.5;88.08;89.36;80.11;82.53;67.23;70.87;64.27;63.7;75.49;68.1;74.76;52.76;70.31;55.47;64.44;59.5;67.5;80.89;72.38;59.53;55.76;57.17;43.64;18.33;28.62;39.58;58.86;59.36;55.31;80.55;85.04;77.45;65.11;46.09;32.8;23.06;25.68;8.97;16.26;24.29;42.12;43.28;26.71;3.29;19.53;25.52;16.82;7.23;16.72;3.9;8.24;10.66;15.07;29.14;9.58;6.05;27.68;44.53;40.02;46.27;55.97
Y;10.57;35.03;19.12;13.4;22.96;41.93;43.05;45.2;6.67;19.27;12.16;30.91;6.92;23.73;12.59;61.48;19.97;20.51;3.39;9.27;19.66;37.3;58.79;93.18;94.65;84.68;87.23;70.61;74.45;67.23;66.1;78.92;71.18;76.9;54.49;75.48;64.75;69.68;63.53;71.19;85.24;76.1;63.08;59.24;62.18;47.33;20.34;29.87;38.37;60.2;62.12;57.87;83.64;90.96;81.44;66.14;47.13;34.19;18.41;17.45;8.04;17.58;29.84;47.15;48.34;28.14;3.51;21.99;34.32;21.81;9.12;19.04;4.12;7.8;8.15;9.92;16.47;7.64;6.1;27.66;39.61;39.45;45.29;58.83
Z;7.55;25.66;35.01;7.18;43.02;44.77;8.07;11.62;14.92;13.74;40.48;6.35;30.4;10.47;5.22;9.62;31.66;41.37;3.82;10.28;21.02;40.39;64.36;96.71;99.5;83.51;78.78;64.87;67.56;67.33;58.7;72.18;71.29;75.72;67.85;84;73.91;71.79;61.18;70.06;89.81;81.58;68.08;60.28;57.72;55.55;40.26;51.93;26.74;49.82;59.86;49.19;56.22;62.53;32.14;36.97;35.51;31.62;7.79;5.69;30.16;28.41;48.55;43.79;33.39;31.15;3.97;13.11;10.36;12.96;8.15;29.27;8.37;20.05;9.85;6.44;4.57;4.67;5.12;19.79;14.47;21.56;22.2;39.21
