// AS73xx Temperature compensation file

Temp [deg C];F1;F2;F3;F4;F5;F6;F7;F8;Clear;NIR
58.0;0.9111;0.9114;0.9223;0.9301;0.9538;0.9424;0.9599;0.9632;0.9291;0.8482
59.0;0.9085;0.9088;0.9199;0.9280;0.9522;0.9405;0.9584;0.9617;0.9269;0.8441
60.0;0.9059;0.9062;0.9176;0.9258;0.9506;0.9386;0.9570;0.9603;0.9246;0.8400
61.0;0.9026;0.9027;0.9144;0.9228;0.9482;0.9358;0.9549;0.9579;0.9215;0.8360
62.0;0.8994;0.8993;0.9112;0.9198;0.9458;0.9330;0.9527;0.9556;0.9184;0.8320
63.0;0.8961;0.8958;0.9080;0.9168;0.9434;0.9301;0.9506;0.9533;0.9153;0.8280
64.0;0.8928;0.8923;0.9048;0.9138;0.9409;0.9273;0.9485;0.9510;0.9122;0.8240
65.0;0.8895;0.8888;0.9016;0.9108;0.9385;0.9245;0.9463;0.9487;0.9091;0.8200
66.0;0.8862;0.8853;0.8984;0.9079;0.9361;0.9217;0.9442;0.9464;0.9060;0.8160
67.0;0.8829;0.8818;0.8952;0.9049;0.9337;0.9188;0.9421;0.9441;0.9029;0.8120
68.0;0.8796;0.8783;0.8919;0.9019;0.9313;0.9160;0.9399;0.9418;0.8998;0.8080
69.0;0.8764;0.8749;0.8887;0.8989;0.9289;0.9132;0.9378;0.9395;0.8967;0.8040
70.0;0.8731;0.8714;0.8855;0.8959;0.9264;0.9104;0.9357;0.9372;0.8936;0.8000
71.0;0.8704;0.8687;0.8831;0.8936;0.9247;0.9083;0.9342;0.9358;0.8914;0.7960
72.0;0.8676;0.8660;0.8807;0.8913;0.9230;0.9063;0.9327;0.9344;0.8892;0.7920
73.0;0.8649;0.8633;0.8782;0.8891;0.9213;0.9042;0.9312;0.9331;0.8870;0.7880
74.0;0.8622;0.8606;0.8758;0.8868;0.9196;0.9022;0.9297;0.9317;0.8848;0.7840
75.0;0.8595;0.8579;0.8733;0.8845;0.9179;0.9002;0.9283;0.9303;0.8826;0.7800
76.0;0.8567;0.8553;0.8709;0.8822;0.9162;0.8981;0.9268;0.9289;0.8804;0.7760
77.0;0.8540;0.8526;0.8685;0.8800;0.9145;0.8961;0.9253;0.9276;0.8782;0.7720
78.0;0.8513;0.8499;0.8660;0.8777;0.9128;0.8940;0.9238;0.9262;0.8760;0.7680
79.0;0.8486;0.8472;0.8636;0.8754;0.9111;0.8920;0.9223;0.9248;0.8738;0.7640
80.0;0.8459;0.8445;0.8611;0.8732;0.9093;0.8900;0.9208;0.9235;0.8716;0.7600
